iter	Passed	Remaining
0	0	86
1	1	94
2	2	91
3	3	82
4	4	78
5	4	75
6	5	73
7	6	71
8	7	74
9	8	74
10	9	72
11	9	71
12	10	69
13	11	68
14	12	69
15	12	67
16	13	66
17	14	65
18	15	64
19	15	63
20	16	62
21	17	61
22	18	60
23	18	59
24	19	58
25	20	57
26	20	56
27	21	55
28	22	55
29	23	54
30	24	53
31	24	52
32	25	51
33	26	50
34	26	49
35	27	49
36	28	48
37	29	47
38	29	46
39	30	45
40	31	44
41	31	43
42	32	42
43	32	41
44	33	41
45	34	40
46	35	39
47	35	38
48	36	38
49	37	37
50	38	37
51	39	36
52	40	35
53	40	34
54	41	33
55	41	32
56	42	32
57	43	31
58	44	30
59	44	29
60	45	29
61	46	28
62	47	27
63	47	26
64	48	26
65	49	25
66	50	24
67	50	23
68	51	23
69	52	22
70	53	21
71	53	20
72	54	20
73	55	19
74	55	18
75	56	17
76	57	17
77	58	16
78	59	15
79	59	14
80	60	14
81	61	13
82	62	12
83	62	11
84	63	11
85	64	10
86	65	9
87	65	8
88	66	8
89	67	7
90	67	6
91	68	5
92	69	5
93	69	4
94	70	3
95	71	2
96	71	2
97	72	1
98	73	0
99	74	0
