iter	Passed	Remaining
0	1	1010
1	1	918
2	2	859
3	3	853
4	4	877
5	5	872
6	6	860
7	6	852
8	7	841
9	8	842
10	9	848
11	10	846
12	11	841
13	11	839
14	12	834
15	13	831
16	14	838
17	15	838
18	16	833
19	16	826
20	17	825
21	18	821
22	19	822
23	20	822
24	21	819
25	21	817
26	22	814
27	23	812
28	24	812
29	25	809
30	25	806
31	26	809
32	27	808
33	28	804
34	29	802
35	29	802
36	30	799
37	31	797
38	32	796
39	33	794
40	33	792
41	34	792
42	35	791
43	36	788
44	37	786
45	37	785
46	38	783
47	39	783
48	40	784
49	41	783
50	42	782
51	42	779
52	43	778
53	44	775
54	45	775
55	45	774
56	46	771
57	47	770
58	48	768
59	48	767
60	49	766
61	50	765
62	51	763
63	52	762
64	52	760
65	53	757
66	54	756
67	55	756
68	55	754
69	56	753
70	57	751
71	58	749
72	58	748
73	59	746
74	60	746
75	61	746
76	62	745
77	62	743
78	63	741
79	64	739
80	65	738
81	65	738
82	66	733
83	67	731
84	67	730
85	68	729
86	69	727
87	70	726
88	71	727
89	71	725
90	72	724
91	73	723
92	74	722
93	74	722
94	75	722
95	76	723
96	77	722
97	78	720
98	79	719
99	79	719
100	80	720
101	81	719
102	82	717
103	83	716
104	83	715
105	84	713
106	85	713
107	86	712
108	86	711
109	88	714
110	89	713
111	89	712
112	90	710
113	91	710
114	92	708
115	92	707
116	93	705
117	94	703
118	94	702
119	95	703
120	96	703
121	97	700
122	98	699
123	98	698
124	99	696
125	100	695
126	100	693
127	101	692
128	102	692
129	103	691
130	104	691
131	105	690
132	105	690
133	106	690
134	107	690
135	108	689
136	109	688
137	109	686
138	110	685
139	111	685
140	112	684
141	112	682
142	113	681
143	114	679
144	115	678
145	115	678
146	116	677
147	117	676
148	118	675
149	119	674
150	119	673
151	120	672
152	121	672
153	122	671
154	122	670
155	123	669
156	124	667
157	125	666
158	125	665
159	126	665
160	127	662
161	127	661
162	128	660
163	129	659
164	130	658
165	130	657
166	131	656
167	132	655
168	133	654
169	133	653
170	134	652
171	135	651
172	135	650
173	136	649
174	137	648
175	138	647
176	138	646
177	139	644
178	140	643
179	141	642
